Title,Location,Company,Salary,Summary
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Civil Engineer - Hydrology & Storm Water,"Irvine, CA 92614 (Business District area)","Huitt-Zollars, Inc.",None,"HZ is a leading full-service design firm providing innovative planning, engineering, architectural services, construction and program management, and design…"
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
"Technical Promotion Engineer, Stormwater Products","Salt Lake City, UT",Contech Engineered Solutions LLC,None,"Attend local Engineering functions such as ASCE meetings and participate at local tradeshows.Leverage technical skills to conduct presentations, develop…"
Hydraulic / Water Resources Engineer,Illinois,"Engineering Design Source, Inc.",None,"The ideal candidate will be licensed in Missouri and Illinois and have a wide variety of experience in water resources, hydraulics, hydrology, water conveyance…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Automation Engineer - Winchester,"Winchester, KY 40391",IWT Primary Manufacturing Plant,None,"This position will be responsible for supporting design and implementation of robotic systems, as well as on-going maintenance, troubleshooting, and…"
Senior Project Manager - Energy and Environmental,"Mechanicsburg, PA",Rettew Associates,None,"Leading design teams in all aspects of project design.As an Engineering News-Record’s Top 500 Design Firm, we aim to delight our clients and our employees,…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Civil Engineer - Water/Wastewater,"Columbus, OH 43220 (Northcrest area)",Burgess & Niple,None,"You want to participate in delivering projects related to all aspects of water and wastewater treatment systems including design calculations, drawings and…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Environmental Manager,"Berlin, NJ 08009",Johns Manville,None,"Ensure the proper disposal of hazardous waste and lead a plant-wide effort to eliminate solid waste by reducing process waters, reusing, and recycling various…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Hydraulic / Water Resources Engineer,Illinois,"Engineering Design Source, Inc.",None,"The ideal candidate will be licensed in Missouri and Illinois and have a wide variety of experience in water resources, hydraulics, hydrology, water conveyance…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Automation Engineer - Winchester,"Winchester, KY 40391",IWT Primary Manufacturing Plant,None,"This position will be responsible for supporting design and implementation of robotic systems, as well as on-going maintenance, troubleshooting, and…"
Senior Project Manager - Energy and Environmental,"Mechanicsburg, PA",Rettew Associates,None,"Leading design teams in all aspects of project design.As an Engineering News-Record’s Top 500 Design Firm, we aim to delight our clients and our employees,…"
Civil Engineer - Hydrology & Storm Water,"Irvine, CA 92614 (Business District area)","Huitt-Zollars, Inc.",None,"HZ is a leading full-service design firm providing innovative planning, engineering, architectural services, construction and program management, and design…"
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
EHS Engineer- Development Program,"Stafford, CT 06075",TTM Technologies - North America,None,Work with production to be proactive with any design/process changes that will have an environmental impact.Assist in conducting environmental site evaluations…
Development Review Engineer,"Daytona Beach, FL","The City of Daytona Beach, FL","$1,303 - $2,433 a week","Comprehensive Plan goals and objectives, includes coordinating with the design engineers,.Experience in development design and/or construction considered an…"
"Engineering, Environmental, and Safety Co-Op (HR-4335)","Piketon, OH 45661",Fluor-B&W,None,"Examples of some of the typical types of assignments include: supporting the development and integration of programs/projects, assisting with field observations…"
Environmental Test Engineer Level 2,"Wichita, KS 67226",Integra Technologies,None,"Plan, design and evaluate environmental reliability and/or qualification projects in collaboration with internal and external customers to ensure that all…"
Water - Wastewater Engineer,"Moline, IL 61265","Shive Hattery Group, Inc.",None,"With mentorship from project managers, effectively manage assigned scope, budget, and schedule for individual work as well as support staff of design engineers,…"
PROCESS ENGINEER,"Catawba, SC 29730",New-indy Catawba Llc,None,"Monitor and report on daily environmental, operating and quality parameters.Good relationship and leadership skills, including ability to convey technical…"
Hydraulic / Water Resources Engineer,Illinois,"Engineering Design Source, Inc.",None,"The ideal candidate will be licensed in Missouri and Illinois and have a wide variety of experience in water resources, hydraulics, hydrology, water conveyance…"
Engineering Virtual Hiring Event,"Lansing, MI",U.S. Navy,"$45,000 - $90,000 a year","At the center of these projects are a talented group of engineers who help to ensure that each initiative is conceived, planned and completed on time, in budget…"
Automation Engineer - Winchester,"Winchester, KY 40391",IWT Primary Manufacturing Plant,None,"This position will be responsible for supporting design and implementation of robotic systems, as well as on-going maintenance, troubleshooting, and…"
Senior Project Manager - Energy and Environmental,"Mechanicsburg, PA",Rettew Associates,None,"Leading design teams in all aspects of project design.As an Engineering News-Record’s Top 500 Design Firm, we aim to delight our clients and our employees,…"
Drainage Engineer,"Houston, TX 77042 (Westchase area)","Huitt-Zollars, Inc.",None,Oversee production of drainage design and construction drawings using AutoCAD & MicroStation.The role will work collaboratively in a team environment providing…
Wastewater Engineer,"Monmouth Junction, NJ 08852",Rotech Solutions,None,Ability to design and perform bench scale and pilot scale treatability studies and perform.Water and wastewater treatment plant design.
Engineer,"Greenville, SC 29601",Goodwyn Mills Cawood,None,Perform process engineering design for water and wastewater treatment plants.Knowledge of environmental engineering principles.
Civil / Environmental Engineer,"Chelmsford, MA",Wood Plc,None,"Wood Environmental & Infrastructure Solutions’ Chelmsford, MA or Providence, Rhode Island office is seeking a Civil / Environmental Engineer in Training to…"
Environmental Manager,"Canton, OH 44704",Republic Steel,None,"Manages the federal, state and local environmental regulatory processes; including permitting and permit renewals and negotiations and implementations and/or…"
Engineer I - Water/Wastewater Treatment,"Pearland, TX 77584",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
